DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09
"Samsung Galaxy F41 (Fusion Blue,6 GB RAM, 128 GB)",4.3,"2,34,365",https://rukminim1.flixcart.com/image/416/416/kfzq8i80/mobile/y/j/f/samsung-galaxy-f41-sm-f415fzbdins-original-imafwbnpdafmeuj6.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f41-fusion-blue-128-gb/p/itm4769d0667cdf9?pid=MOBFV5PWG5MGD4CF&lid=LSTMOBFV5PWG5MGD4CFZ8YQJZ&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFV5PWG5MGD4CF.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,unavailable,unavailable,unavailable,unavailable,unavailable,16499,unavailable,unavailable,unavailable,17999,17999,16499,unavailable,unavailable,unavailable,unavailable,16499,16499
"Samsung Galaxy F41 (Fusion Blue,6 GB RAM, 64 GB)",4.3,"2,34,365",https://rukminim1.flixcart.com/image/416/416/kfzq8i80/mobile/y/j/f/samsung-galaxy-f41-sm-f415fzbdins-original-imafwbnpdafmeuj6.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f41-fusion-blue-64-gb/p/itmcdc5e93b44d55?pid=MOBFV5PWHRYTYYJF&lid=LSTMOBFV5PWHRYTYYJFLE0GZO&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFV5PWHRYTYYJF.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,15499,15499,15499,15499,15499,15499,15499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15499,15499,15499,15499,15499,16999,16999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy F41 (Fusion Green,6 GB RAM, 128 GB)",4.3,"2,34,365",https://rukminim1.flixcart.com/image/416/416/kfzq8i80/mobile/w/z/z/samsung-galaxy-f41-sm-f415fzgdins-original-imafwbnhbywwg5gh.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f41-fusion-green-128-gb/p/itma41850a2f9e19?pid=MOBFV5PWEX7WJS7R&lid=LSTMOBFV5PWEX7WJS7RBAY0T5&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFV5PWEX7WJS7R.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,unavailable,unavailable,16499,unavailable,unavailable,unavailable,unavailable,17999,17999,unavailable,unavailable,16499,unavailable,unavailable,16499,16499
"Samsung Galaxy F41 (Fusion Green,6 GB RAM, 64 GB)",4.3,"2,34,365",https://rukminim1.flixcart.com/image/416/416/kfzq8i80/mobile/w/z/z/samsung-galaxy-f41-sm-f415fzgdins-original-imafwbnhbywwg5gh.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f41-fusion-green-64-gb/p/itmce548f0500d55?pid=MOBFV5PWXJRV9WZZ&lid=LSTMOBFV5PWXJRV9WZZSWCHLG&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFV5PWXJRV9WZZ.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,15499,15499,unavailable,unavailable,15499,15499,15499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15499,15499,15499,15499,15499,16999,16999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy F41 (Fusion Black,6 GB RAM, 64 GB)",4.3,"2,34,365",https://rukminim1.flixcart.com/image/416/416/kfzq8i80/mobile/w/s/2/samsung-galaxy-f41-sm-f415fzkdins-original-imafwbnvxuhzvtpv.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f41-fusion-black-64-gb/p/itmde5e6cd41fc4d?pid=MOBFV5PWGEVNPWS2&lid=LSTMOBFV5PWGEVNPWS2VG4KHD&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFV5PWGEVNPWS2.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,15499,15499,15499,15499,15499,15499,15499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15499,15499,15499,15499,15499,16999,16999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M31 (Ocean Blue,6 GB RAM, 64 GB)",4.3,7413,https://rukminim1.flixcart.com/image/416/416/k7f34i80/mobile/h/e/4/samsung-galaxy-m31-sm-m315fzbdins-original-imafpnrzfeyrmq8a.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m31-ocean-blue-64-gb/p/itm1268b57512fb8?pid=MOBFPNPS6GTGZHE4&lid=LSTMOBFPNPS6GTGZHE4ETLHWT&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFPNPS6GTGZHE4.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,15975,15925,15910,15910,15589,15490,15490,15859,15880,15880,15810,15810,15810,15490,15810,15833,16489,16489,16249,15750,15946,15946,16990,16990,16990,16990,15690,15915,15565,15450,15945,15945
"Samsung Galaxy M01 (Blue,3 GB RAM, 32 GB)",4.2,16594,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/d/f/a/samsung-galaxy-m01-sm-m015gzbdins-original-imafscggmdqgt62q.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m01-blue-32-gb/p/itmc068b26305a0d?pid=MOBFRZZHMHQVNDFA&lid=LSTMOBFRZZHMHQVNDFAZF2Q8Z&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFRZZHMHQVNDFA.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,7893,7715,7677,7677,7597,7899,7899,7883,7759,7817,7817,7817,7800,7779,7751,7799,7789,7789,8098,8099,7885,7885,8300,8200,8200,8300,8399,8399,8399,8080,8999,8999
"Samsung Galaxy M01 (Black,3 GB RAM, 32 GB)",4.2,16594,https://rukminim1.flixcart.com/image/416/416/kavefm80/mobile/x/g/r/samsung-galaxy-m01-sm-m015gzkdins-original-imafscggjk6twbh6.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m01-black-32-gb/p/itm068396ac0c4a3?pid=MOBFRZZHV9KS2XGR&lid=LSTMOBFRZZHV9KS2XGRNBVTS9&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFRZZHV9KS2XGR.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,7797,8299,8299,8299,7685,8299,8299,7930,7812,7752,7752,7752,7805,8299,8299,8299,8299,8299,7810,8299,8299,8299,8099,8099,8099,8109,8299,8299,8299,8299,8089,8089
"Samsung Galaxy M21 (Midnight Blue,4 GB RAM, 64 GB)",4.3,5710,https://rukminim1.flixcart.com/image/416/416/kah413k0/mobile/z/m/g/samsung-galaxy-m21-b07hgjj55il-original-imafsfewggf3dqwc.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m21-midnight-blue-64-gb/p/itm322eb5a51f9a2?pid=MOBFSF86NH2HVZAW&lid=LSTMOBFSF86NH2HVZAW125OPX&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFSF86NH2HVZAW.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,13840,14197,14194,14194,13748,14186,14186,14189,14290,14289,14289,14289,14287,14208,14205,14205,14161,14161,14039,13885,13873,13873,13792,14299,14299,14197,14181,14181,13931,13924,14299,14299
"Samsung Galaxy M31 (Space Black,6 GB RAM, 64 GB)",4.3,7413,https://rukminim1.flixcart.com/image/416/416/k7f34i80/mobile/k/g/h/samsung-galaxy-m31-sm-m315fzkgins-original-imafpnrzzt9krr9a.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m31-space-black-64-gb/p/itme0c5a25c1e64a?pid=MOBFPNPSZWQ7YKGH&lid=LSTMOBFPNPSZWQ7YKGH6D5AVM&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFPNPSZWQ7YKGH.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,15945,15940,15909,15909,15580,15490,15490,15948,15490,15490,15490,15490,15490,15490,15804,15798,16490,16490,16299,16295,15983,15983,15899,15861,15861,15776,15638,15518,15850,15450,15990,15990
"Samsung M01 core (Blue,2 GB RAM, 32 GB)",3.9,5182,https://rukminim1.flixcart.com/image/416/416/kddf6a80/mobile/g/y/v/samsung-m01-core-b089mv96rw-original-imafuaghffexhag6.jpeg?q=70,https://www.flipkart.com/samsung-m01-core-blue-32-gb/p/itm4af92173df3c8?pid=MOBFUAEBY34F3GYV&lid=LSTMOBFUAEBY34F3GYVUBVNON&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFUAEBY34F3GYV.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,6052,6045,6132,6132,6097,6499,6499,6188,6175,6164,6164,6164,6119,6089,6047,6033,6068,6068,6040,6199,6199,6199,6199,6053,6053,6026,5995,6026,6028,6035,6029,6029
"Samsung M01 core (Black,1 GB RAM, 16 GB)",4,5292,https://rukminim1.flixcart.com/image/416/416/kddf6a80/mobile/5/u/s/samsung-m01-core-b089mv96rw-original-imafuaghuqyfbzfz.jpeg?q=70,https://www.flipkart.com/samsung-m01-core-black-16-gb/p/itmcc59efe93b40b?pid=MOBFUAEBGZKRFGHX&lid=LSTMOBFUAEBGZKRFGHXMWBIK5&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFUAEBGZKRFGHX.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,5133,5488,5488,5488,5284,5295,5295,5295,5295,5295,5295,5295,5295,5295,5076,5063,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5295,5294,5294,5294,5284,5284
"Samsung Galaxy M31 (Space Black,6 GB RAM, 128 GB)",4.3,7413,https://rukminim1.flixcart.com/image/416/416/k7f34i80/mobile/k/g/h/samsung-galaxy-m31-sm-m315fzkgins-original-imafpnrzzt9krr9a.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m31-space-black-128-gb/p/itmeb29fb2c00580?pid=MOBFPNPS6QGTKBQB&lid=LSTMOBFPNPS6QGTKBQBH8ECKJ&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFPNPS6QGTKBQB.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,17600,17640,17649,17649,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17790,17786,17786,17786,17490,17490,17490,17999,17490,17590,17999,18888,18888
"Samsung Galaxy A21s (Blue,4 GB RAM, 64 GB)",4.2,15318,https://rukminim1.flixcart.com/image/416/416/kbi9h8w0/mobile/q/2/x/samsung-galaxy-a21s-sm-a217fzbfins-original-imafsuyataz9hpmz.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a21s-blue-64-gb/p/itm2da4d839feeaf?pid=MOBFSFMJJBTXPTRR&lid=LSTMOBFSFMJJBTXPTRR4BE1KX&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFSFMJJBTXPTRR.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,14999,14999,13999,13999,13999,13999,13999,12999,12999
"Samsung Galaxy M21 (Raven Black,4 GB RAM, 64 GB)",4.3,5710,https://rukminim1.flixcart.com/image/416/416/kah413k0/mobile/d/m/z/samsung-galaxy-m21-b07hgh8d2r-original-imafsfexgymaayrk.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-m21-raven-black-64-gb/p/itm771ab543df368?pid=MOBFSF867ET7DDMZ&lid=LSTMOBFSF867ET7DDMZH9SHSE&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=0121c2cb-4944-4973-8e5c-3557a91487ca.MOBFSF867ET7DDMZ.SEARCH&ssid=v39gqnwaao0000001612574307873&qH=9a56a29d6da35374,13936,13862,14087,14087,13785,14299,14299,14134,1662,14048,14039,14039,14299,14275,14267,14267,14221,14221,14055,13885,13869,13869,13793,14299,14299,14265,14265,14189,14189,14189,13798,13798
"Samsung Galaxy A31 (Prism Crush Black,6 GB RAM, 128 GB)",4.3,8011,https://rukminim1.flixcart.com/image/416/416/kamtsi80/mobile/g/2/j/samsung-galaxy-a31-sm-a315fzkwins-original-imafs5p5ffjbkf3w.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a31-prism-crush-black-128-gb/p/itm629da21d10cba?pid=MOBFRZZHWPX3YG2J&lid=LSTMOBFRZZHWPX3YG2JP5DVNQ&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=5b80df22-a746-40aa-8b67-35a1fdea1d23.MOBFRZZHWPX3YG2J.SEARCH&ssid=qexr8l82wg0000001612574314049&qH=9a56a29d6da35374,17999,unavailable,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung Galaxy A31 (Prism Crush Blue,6 GB RAM, 128 GB)",4.3,8011,https://rukminim1.flixcart.com/image/416/416/kamtsi80/mobile/z/c/w/samsung-galaxy-a31-sm-a315fzbwins-original-imafs5p5kwscdurq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a31-prism-crush-blue-128-gb/p/itmca37dc47f1c6a?pid=MOBFRZZHH4WHKZCW&lid=LSTMOBFRZZHH4WHKZCWSOSBOT&marketplace=FLIPKART&srno=s_2_28&otracker=search&fm=organic&iid=5b80df22-a746-40aa-8b67-35a1fdea1d23.MOBFRZZHH4WHKZCW.SEARCH&ssid=qexr8l82wg0000001612574314049&qH=9a56a29d6da35374,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999
"Samsung M01 core (Blue,1 GB RAM, 16 GB)",4,5292,https://rukminim1.flixcart.com/image/416/416/kddf6a80/mobile/g/y/v/samsung-m01-core-b089mv96rw-original-imafuaghffexhag6.jpeg?q=70,https://www.flipkart.com/samsung-m01-core-blue-16-gb/p/itma9e257004962e?pid=MOBFUAEBBSAWG6HG&lid=LSTMOBFUAEBBSAWG6HGSF7N0O&marketplace=FLIPKART&srno=s_2_29&otracker=search&fm=organic&iid=5b80df22-a746-40aa-8b67-35a1fdea1d23.MOBFUAEBBSAWG6HG.SEARCH&ssid=qexr8l82wg0000001612574314049&qH=9a56a29d6da35374,5343,5343,5343,5343,5186,5399,5399,5134,5120,5199,5199,5199,5132,5149,5101,5099,5299,5299,5299,5087,5087,5087,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199
